Year,Inflation Rate (%),Multiplier
1995,2.8,1
1996,3,1.03
1997,2.3,1.05369
1998,1.5,1.038345
1999,2.2,1.03733
2000,3.4,1.056748
2001,2.8,1.062952
2002,1.6,1.044448
2003,2.3,1.039368
2004,2.7,1.050621
2005,3.4,1.061918
2006,3.2,1.067088
2007,2.8,1.060896
2008,3.8,1.067064
2009,-0.4,1.033848
2010,1.6,1.011936
2011,3.1,1.047496
2012,2.1,1.052651
2013,1.5,1.036315
2014,1.6,1.03124
2015,0.1,1.017016
2016,1.3,1.014013
2017,2.1,1.034273
2018,2.4,1.045504
2019,1.8,1.042432
2020,1.2,1.030216
2021,4.7,1.059564
2022,8,1.13076
2023,4.1,1.12428
2024,3.4,1.076394
